epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1615,0.56611,5.79604,0.00587,0.04865,0.36951,0.09456,0.09014,0.46534,2.89507,0.00761,0.000274152,0.000274152,0.000274152
2,78.5586,0.59821,4.8252,0.00614,0.28726,0.42954,0.33207,0.30661,0.42101,2.29159,0.00718,0.000551725,0.000551725,0.000551725
3,106.394,0.60679,3.80403,0.0061,0.58926,0.66662,0.59041,0.56487,0.31233,1.67464,0.00568,0.000828923,0.000828923,0.000828923
4,133.492,0.59967,3.16204,0.00596,0.71519,0.73539,0.82146,0.76163,0.38849,1.31187,0.00729,0.000831729,0.000831729,0.000831729
5,161.549,0.58584,2.56412,0.00589,0.68216,0.67269,0.77498,0.7295,0.38116,0.99448,0.00673,0.000830741,0.000830741,0.000830741
6,189.685,0.61472,2.12385,0.00609,0.90608,0.74579,0.89463,0.83694,0.42157,0.6292,0.00717,0.000829472,0.000829472,0.000829472
7,217.581,0.58723,1.81643,0.00585,0.92167,0.77785,0.93132,0.88576,0.36427,0.50417,0.00664,0.000827923,0.000827923,0.000827923
8,245.093,0.58361,1.59548,0.00584,0.88301,0.84334,0.95005,0.91021,0.34818,0.50722,0.00643,0.000826095,0.000826095,0.000826095
9,270.997,0.5678,1.39347,0.00537,0.77779,0.91336,0.9381,0.90198,0.37657,0.49516,0.00652,0.000823989,0.000823989,0.000823989
10,297.984,0.54329,1.23444,0.00535,0.7584,0.89011,0.91105,0.86208,0.38649,0.56982,0.0069,0.000821607,0.000821607,0.000821607
11,325.704,0.53739,1.12733,0.00521,0.81589,0.88126,0.85912,0.81732,0.50928,0.86728,0.00893,0.00081895,0.00081895,0.00081895
12,353.224,0.56955,1.09262,0.0055,0.89584,0.85698,0.92776,0.88968,0.46916,0.4837,0.00795,0.00081602,0.00081602,0.00081602
13,379.934,0.55119,1.00673,0.00529,0.72479,0.9357,0.95979,0.90798,0.37674,0.44853,0.00683,0.000812819,0.000812819,0.000812819
14,406.203,0.54071,0.91449,0.00534,0.96661,0.81942,0.95601,0.90964,0.46362,0.61832,0.00794,0.000809349,0.000809349,0.000809349
15,433.661,0.53729,0.87521,0.00498,0.96702,0.89367,0.95866,0.93339,0.2896,0.28265,0.00506,0.000805613,0.000805613,0.000805613
16,460.767,0.52513,0.82772,0.00498,0.91571,0.90109,0.94379,0.90637,0.36398,0.3583,0.00632,0.000801613,0.000801613,0.000801613
17,487.785,0.52549,0.81077,0.00504,0.96775,0.87509,0.95907,0.91988,0.31717,0.31451,0.00572,0.000797352,0.000797352,0.000797352
18,513.808,0.51592,0.74871,0.00498,0.98295,0.8348,0.94771,0.9109,0.36631,0.34259,0.0064,0.000792833,0.000792833,0.000792833
19,541.435,0.51321,0.75447,0.00487,0.94581,0.86321,0.96144,0.91822,0.46526,0.46766,0.0082,0.000788058,0.000788058,0.000788058
20,568.934,0.53565,0.73519,0.00527,0.92845,0.91938,0.96339,0.92039,0.46994,0.33209,0.00769,0.000783032,0.000783032,0.000783032
21,596.542,0.50927,0.72517,0.00476,0.76999,0.81593,0.85206,0.82194,0.29614,0.48724,0.00523,0.000777758,0.000777758,0.000777758
